İçecek,Kampanya
Americano,"**Kampanya Önerisi:**

**Yazın Sonu İcerik Geliştirme Kampanyası**

Yaz aylarında, içecek tüketimi genellikle düşük seviyede olur. Bu nedenle, bizde yaz aylarında da en popüler içecekler arasında yer alan Americano'yu promotionsla tanıtma kararı alıyoruz.

**Kampanya Adı:** ""Yazın Sonu İcerik Geliştirme Kampanyası""

**Kampanya Amaçları:**

- Americano'yu daha çok tüketilen yaz aylarında tanıtma.
- Fiyata indirim uygulama ve promosyonlar sunma.
- Fiyatlara indirim uygulanacak olan productsa ilave bir bonus tanıtma.

**Kampanya Detayları:**

1. **Fiyat Indirmesi:** 90 TL'den 75 TL'ye indirim applies.
2. **Promosyon:** Her 10 sipariş için 10 TL bonus verme.
3. **Bonus Tanıtımı:** Her siparişde, bonuslu Americano paketinde Americano içecepleri ile accompanying sebzeli salad ve şekerli porcupine tanıtma.
4. **Sosyal Medya Tanıtımı:** Instagram ve Facebook'ta kampanyaya ilişkin fotoğrafların ve video'sinin paylaşılması için ödülleri sunulacak. Kampaniya ile ilgili her paylaşımla 10 TL bonus verilecek.

**Kampanya Süresi:** 15 Nisan- 30 Eylül between.

**Kampanya Tanıtımı:**

- Her siparişin completed oldugu günden itibaren, bonus verme sistemi active olacak.
- Siparişler için her ayda bir liste oluşturulacak ve bonus verilecek siparişlerin listede yer alacaktır.
- Bonuslu Americano paketinde bonus verilecek olan productsa ilave bir bonus tanıtma ile birlikte tanıtımı yapılmış olacak.

**Kampanya Uygulaması:**

- Kampanya sırasında, her siparişde bonus verilir.
- Her siparişde bonus veriliye Americano içeceği bonuslu paket olarak verilecek.
- Bonus verme sistemi her ayda bir listeyle update edilecektir.

Bu kampanya ile, Americano'yı daha çok tüketilen yaz aylarında tanıtma ve sipariş sayısını artırmayı amaçladık."
Espresso,"Kampanya Önerisi:

**Yazın Espressonunu Indirimli Satıl!**

Düştük our trend olan espressonumuza, yaz aylarında da sunumumuzu devam ettiriyoruz!

Mevcut fiyatımız 80 TL'dir. Lakin, bu günlerde 60 TL'de sipariş olabilirsiniz.

Vardığınız siparişin hesabını, 10 TL'lik indirimli fiyata gelire yaptırabilirsiniz.

Bununla birlikte, siparişlerinizi 30 TL'den fazla olması koşuluyla, ek bir 20% indirim ile de benefit alabilir yourselves.

Önceki indirimli fiyatımız 72 TL'dir. Bu günkü indirimli fiyatimiz 60 TL'dir. Düştük unsere trend olan espressonumuza, yaz aylarında da sunumumuzu devam ettiriyoruz!

Siparişlarınızı immediate olarak yapın ve yazın en popüler espressonunu indirimli şekilde alabilirsiniz!"
Mocha,"Kampanya Önerisi:

""Yazın İyiliyi - Mocha Fırsatı!

Yaz mevsiminin sıcaklığını ve güzelliğini feel alabilen sizleri davetiamo! Mocha ourda en popüler içeceklerden biri olan Moka, nowra son trend olduğu için, 100 TL'li pricede ourda ilk kez sunuluyor!

Trende olan Moka, nowra her who, Summer seasonında en sevilen içeceklerden biri oluyor. Bu reason why, 100 TL price'de Moka'yu nowra satabilmeyecegiz!

Kampanya nuestro siteye gelerek ""Yazın İyiliyi - Mocha Fırsatı"" offerini kullanabilirsiniz.

Uzun zaman süren kampanyadan sonra, Moka'sını nowra alabilir ve summer seasonında en sevilen içeceklerden biri haline gelecektir!"""
Latte,"**Yaz Aylarında Latte Fiyati Düşüştürülmektedir!**

Yaz aylarında, ourun en popüler içeceklerinden biri olan latte fiyatı 90 TL'den maintenant 75 TL'ye düştü!

Bu special kampanyadan yararlanmak için ourdan satın alacağınız her.latte'si, %25 oranında indirimli olacaktır. Bu offer only yaz aylarında geçerli olacak, इसलiare for your summer season'dan bir gecelebilirsiniz."
Filtre Kahve,"**Yazın En Popüler Filtre Kahvesi**

Her yıl yaz aylarında popülerlik kazanan ouran kahvesi, günümüzde en favori içeceklerden biri haline geldi. Bu season'de sonbahar ve yaz mevsimlerinin ilginç kombinasyonunuza göre ""Yazın En Güzel Filtre Kahvesi"" kampányımızı tasariyoruz.

**Kampanya Bilgileri:**

*   **Fiyati:** 50 TL (örjenik kahve için 30TL + 20TL)
*   **Trend:** Düşüş
*   **Mevsim:** Yaz

Bu kampanyada, nosso müşterilerimiz, unsere orijinal ouran kahvesi için %33 indirimli fiyata sahip olabileceklerdir. Filtre kahve için en popüler olan yaz mevsimini bir camdan izleyerek bu offeri kullanın."
White Chocolate Mocha,"**Kampanya Angebotı**

Yaz aylarında en popüler içecekler arasında White Chocolate Mocha yer alıyor! Bu nedenle, nossuz da sizlere special bir fırsat sunmak istedik.

**Kampanya detailsi:**

* Fiyat: 100 TL (normal fiyatın %16'sı)
* Kampanya süresi: 30 gün
* Kapsam: Tüketici, 3 shot white chocolate mocha alabilir.
* İndirimlifiyatın uygulanacağı produk alleresi: Tüm içecekler için geçerlidir.

**Kampanyadetailsine ilaveten bonus:**

- her sipisi 100 TL'den sonra, 50 TL'lik bir voucher alabilirsiniz.
- Kuponu kullandığınız günden itibaren 5 gün boyunca kullanabileceğiniz voucher size, en son sipenize ait olan içecekler için geçerlidir.

**Kampanya detailsine ilaveten bonus:**

- her sipisi 100 TL'den sonra, 50 TL'lik bir voucher alabilirsiniz.
- Kuponu kullandığınız günden itibaren 5 gün boyunca kullanabileceğiniz voucher size, en son sipenize ait olan içecekler için geçerlidir.

**Kampanya detailsine ilaveten bonus:**

- her sipisi 100 TL'den sonra, 50 TL'lik bir voucher alabilirsiniz.
- Kuponu kullandığınız günden itibaren 5 gün boyunca kullanabileceğiniz voucher size, en son sipenize ait olan içecekler için geçerlidir.

**Kampanya detailsine ilaveten bonus:**

- her sipisi 100 TL'den sonra, 50 TL'lik bir voucher alabilirsiniz.
- Kuponu kullandığınız günden itibaren 5 gün boyunca kullanabileceğiniz voucher size, en son sipenize ait olan içecekler için geçerlidir.

**Kampanya detailsine ilaveten bonus:**

- her sipisi 100 TL'den sonra, 50 TL'lik bir voucher alabilirsiniz.
- Kuponu kullandığınız günden itibaren 5 gün boyunca kullanabileceğiniz voucher size, en son sipenize ait olan içecekler için geçerlidir.

**Kampanya detailsine ilaveten bonus:**

- her sipisi 100 TL'den sonra, 50 TL'lik bir voucher alabilirsiniz.
- Kuponu kullandığınız günden itibaren 5 gün boyunca kullanabileceğiniz voucher size, en son sipenize ait olan içecekler için geçerlidir.

**Kampanya detailsine ilaveten bonus:**

- her sipisi 100 TL'den sonra, 50 TL'lik bir voucher alabilirsiniz.
- Kuponu kullandığınız günden itibaren 5 gün boyunca kullanabileceğiniz voucher size, en son sipenize ait olan içecekler için geçerlidir.

**Kampanya detailsine ilaveten bonus:**

- her sipisi 100 TL'den sonra, 50 TL'lik bir voucher alabilirsiniz.
- Kuponu kullandığınız günden itibaren 5 gün boyunca kullanabileceğiniz voucher size, en son sipenize ait olan içecekler için geçerlidir.

**Kampanya detailsine ilaveten bonus:**

- her sipisi 100 TL'den sonra, 50 TL'lik bir voucher alabilirsiniz.
- Kuponu kullandığınız günden itibaren 5 gün boyunca kullanabileceğiniz voucher size, en son sipenize ait olan içecekler için geçerlidir."
Hazelnut Latte,"Kampanya Önerisi:

**Yazın Soğuyorsun, Hazelnut Latte Soğuluyor!**

Hazelnut Latte'yi daha da leziz bir şekilde Experience edinin!

*   İçecek Fiyatı: 99 TL (Normal fiyatın %10'u)
*   Kampanya süresine göre özel bonuslar ve rewards Sunuz
*   Trend: Yükseliş

Kampanya Önerisi ile, kháchlarımızın daha da keyifli bir şekilde içecek choices'lerini sunabilriz."
Coconut Latte,"""Yazın Soğuluzione İltifasi""

Kampanyamız, yaz aylarında ısıın artmasıyla birlikte coconut latte'nın popülerliğini arttırmak ve nuestros kháchlarımızın sofülmasını sağlama amacını taşır.

**Kampanya Önerisi:**

*   **İçecek Fiyatı:** 90 TL (Normal fiyatından %18 indirim)
*   **Trend:** Düştükçe, Satışları Artıralım
*   **Mevsim:** Yaz
*   **Kampanya Süresi:** 1 ay
*   **Bilgilendirmeler:** Kampanyanın başlangıcıyla birlikte, social media platformlerimizde, Instagram Stories ve Facebook Stories'de campaign logo'su ve sloganı (Yazın Soğuluzione İltifasi) ile tanıtım yapılacaktır.

Kampanya nosso kháchlarımızın sofülmasını sağlama amacını taşır."
Su,"Kampanya Önerisi:

""Yazın Sıcaklığını Yükselt!"" 

- Süre: 1 haftadan 2 haftaya kadar
- İncelemeler: Fiyati 20 TL olan suya, son 6 ayda %10'lık düşüş ile gelen trendin devam etmesini bekliyoruz. Bu nedenle, her sipariş için 5 TL'lik indirim ofere edeceğiz.
- Içerik: Kampanya nosso customers'a yaz aylarında sıcaklığı yakalamak için ideal bir içecek seçeneği olarak sunuyor. Bu.reasonle birlikte, bu internal trendi our platformu ile paylaşıyoruz.

Önerimize katılan customerler için; kampanya süresince her sipariş için 5 TL'lik indirimden yararlanacaklar."
Soda,"Kampanya Önerisi:

""Yazda Soğukkan!

Yaz aylarında sıcaklık artar, lezzetler artar ve soda tüketiminizi artıran bir fırsat oluşturuyoruz! 

40 TL'de Soda Alın!

Trendi düşüş trendine soktukça, size daha indirimli bir fırsat sunuyoruz. Mevcut fiyat 40 TL'ye indiriliyor! Bu opportunityyi kaçırma ve yazın en lezeli soda seçeneğiniDiscover our latest offer:

'Soda Yaz Aylarından Soğukkan!

Aşağıdaki koşullara uyanlar için %100 indirim:
- İçecek: Soda
- Mevcut Fiyat: 40 TL
- Trend: Düştü
- Mevsim: Yaz

Hem içehekere hem de daha lezzetli soda seçeneği bulmaya başlayın!"
